recipe_name	EN_recipe_name	ewe_name	part	class_fatumbi	odu	recipe	recipe_EN	X	Y
oògùn ehín dídùn	medicine to cure toothache	Orógbó kàn 	stick	oògùn	Ọ̀ṣẹ́ òdí (230)	Ewé idí, Ewé òmù, Ewé ọ̀kún, Òbu otóyò. A ó lọ̀ ọ́. A ó tẹfá lórí iyẹ̀ròsùn. A ó fi igi orógbó kàn án a o sì ti run pákò.	Leaf of TERMINALIA GLAUCESCENS, Combretaceae; Leaf of PTERIS sp., Adiantaceae; Leaf of PHOENIX RECLINATA, Palmae; Saltpetre. Grind the ingredients. Draw the odu in iyérosun. Take a chewing stick (made from GARCINIA KOLA, Guttiferae plant) and clean the teeth with this preparation.	30	-127
oògùn ehín dídùn	medicine to cure toothache	Ewé idí	leaf	oògùn	Ọ̀ṣẹ́ òdí (230)	Ewé idí, Ewé òmù, Ewé ọ̀kún, Òbu otóyò. A ó lọ̀ ọ́. A ó tẹfá lórí iyẹ̀ròsùn. A ó fi igi orógbó kàn án a o sì ti run pákò.	Leaf of TERMINALIA GLAUCESCENS, Combretaceae; Leaf of PTERIS sp., Adiantaceae; Leaf of PHOENIX RECLINATA, Palmae; Saltpetre. Grind the ingredients. Draw the odu in iyérosun. Take a chewing stick (made from GARCINIA KOLA, Guttiferae plant) and clean the teeth with this preparation.	3	-226
oògùn ehín dídùn	medicine to cure toothache	Ewé òmu	leaf	oògùn	Ọ̀ṣẹ́ òdí (230)	Ewé idí, Ewé òmù, Ewé ọ̀kún, Òbu otóyò. A ó lọ̀ ọ́. A ó tẹfá lórí iyẹ̀ròsùn. A ó fi igi orógbó kàn án a o sì ti run pákò.	Leaf of TERMINALIA GLAUCESCENS, Combretaceae; Leaf of PTERIS sp., Adiantaceae; Leaf of PHOENIX RECLINATA, Palmae; Saltpetre. Grind the ingredients. Draw the odu in iyérosun. Take a chewing stick (made from GARCINIA KOLA, Guttiferae plant) and clean the teeth with this preparation.	-149	-192
oògùn ehín dídùn	medicine to cure toothache	Ewé ọ̀ọ̀kún	leaf	oògùn	Ọ̀ṣẹ́ òdí (230)	Ewé idí, Ewé òmù, Ewé ọ̀kún, Òbu otóyò. A ó lọ̀ ọ́. A ó tẹfá lórí iyẹ̀ròsùn. A ó fi igi orógbó kàn án a o sì ti run pákò.	Leaf of TERMINALIA GLAUCESCENS, Combretaceae; Leaf of PTERIS sp., Adiantaceae; Leaf of PHOENIX RECLINATA, Palmae; Saltpetre. Grind the ingredients. Draw the odu in iyérosun. Take a chewing stick (made from GARCINIA KOLA, Guttiferae plant) and clean the teeth with this preparation.	-120	-390
Ìmú ni kọ́lé	to help someone build a house	Ewé àkúdìnrín	leaf	awúre	Òtúrá ìká (207)	Ewé àkúdìnrín, Ewé ọ̀ọ̀kún, Ewé ikí, Ewé ìmọ̀, Ẹsẹ̀ ahun, Ẹsẹ̀ àwòdì. A ó jò o. A ó fi tẹfá. A ó bu lébú rẹ̀ sí ọwọ, a o sì fẹ́ ẹ kúrò lọ́wọ́.	Leaf of ALBIZIA ZYGIA, Leguminosae Mimosoideae; Leaf of PHOENIX RECLINATA, Palmae; Leaf of CALAMUS sp., Palmae; Unidentified leaf; One foot of a tortoise; One foot of a black African hawk. Burn everything. Draw the odu in the ashes. Place them on the hand and blow them away.	94	-6
Ìmú ni kọ́lé	to help someone build a house	Ewé ọ̀ọ̀kún	leaf	awúre	Òtúrá ìká (207)	Ewé àkúdìnrín, Ewé ọ̀ọ̀kún, Ewé ikí, Ewé ìmọ̀, Ẹsẹ̀ ahun, Ẹsẹ̀ àwòdì. A ó jò o. A ó fi tẹfá. A ó bu lébú rẹ̀ sí ọwọ, a o sì fẹ́ ẹ kúrò lọ́wọ́.	Leaf of ALBIZIA ZYGIA, Leguminosae Mimosoideae; Leaf of PHOENIX RECLINATA, Palmae; Leaf of CALAMUS sp., Palmae; Unidentified leaf; One foot of a tortoise; One foot of a black African hawk. Burn everything. Draw the odu in the ashes. Place them on the hand and blow them away.	-120	-390
Ìmú ni kọ́lé	to help someone build a house	Ewé ikí	leaf	awúre	Òtúrá ìká (207)	Ewé àkúdìnrín, Ewé ọ̀ọ̀kún, Ewé ikí, Ewé ìmọ̀, Ẹsẹ̀ ahun, Ẹsẹ̀ àwòdì. A ó jò o. A ó fi tẹfá. A ó bu lébú rẹ̀ sí ọwọ, a o sì fẹ́ ẹ kúrò lọ́wọ́.	Leaf of ALBIZIA ZYGIA, Leguminosae Mimosoideae; Leaf of PHOENIX RECLINATA, Palmae; Leaf of CALAMUS sp., Palmae; Unidentified leaf; One foot of a tortoise; One foot of a black African hawk. Burn everything. Draw the odu in the ashes. Place them on the hand and blow them away.	-70	-43
wíwá ìyọ́nú Ọ̀ṣun	to obtain favours from Ọ̀ṣun	Ẹ̀fọ́ yánrin		òrìṣà	Ogbè gúndá (24)	Ẹ̀fọ́ yánrin, Iṣu márùn, Obì márùn, Ataare márùn, Ewé pèrègún, Ewé awẹdẹ (wẹ̀rìṣà), Ewé ọ̀dúndún, Ewé tẹ̀tẹ̀, Ewé rinrin, Ewé ọsàn, Ewé gbẹ́gi, Òrí. Adìyẹ elẹ́sẹ̀ márùn (ọmọ ìkàsẹ̀). A ó fi epo pupa ro ẹ̀fọ́ yánrin. A ó gún iṣu márùn nínú odó. A ó ra á róbóróbó lọ́nà mésàn, a ó bu éfọ́ tí a rò sí i. A ó gbé e sí ìdí Ọ̀ṣun. A ó kó obì àti ataare sí ibẹ̀ pẹ̀lú. A ó da ẹ̀jẹ̀ adìyẹ ọlọ́mọ ìkasẹ̀ márùn sí i. A ó se ìyókù. Tí ó ba jiná tán, a ó yọ ẹ̀dọ̀, orí, iwe, ọrùn, eegun àti ẹran àyà adìyẹ náà sọ́tọ̀. A ó há ìyókù fun àwọn ènìyàn je. A ó wẹ Ọ̀ṣun pẹ̀lú àwọn ewé wọ̀nyí. Lẹ́yìn èyí, a O da epo ati ori si i. A ó wá ké báyìí. Ore yè è yé ò.	LAUNAEA TARAXACIFOLIA, Compositae; Five DIOSCOREA sp., Dioscoreaceae; Five COLA ACUMINATA, Sterculiaceae; Five AFRAMOMUM MELEGUETA, Zingiberaceae; Leaf of DRACAENA FRAGRANS, Agavaceae; Leaf of DISSOTIS ROTUNDIFOLIA, Melastomataceae; Leaf of KALANCHOE CRENATA, Crassulaceae; Leaf of AMARANTHUS HYBRIDUS subsp. INCURVATUS, Amaranthaceae; Leaf of PEPEROMIA PELLUCIDA, Piperaceae; Leaf of CITRUS sp., Rutaceae; Leaf of ELEUSINE INDICA, Graminae; BUTYROSPERMUM PARADOXUM subsp. PARKII, Sapotaceae. One hen with five talons Cook the first ingredient in palm oil. Pound five yams, make nine little balls with the paste, add to the first preparation and place on the shrine of Osun with the third and fourth ingredients. Pour the blood of the hen, which must have five talons, over the mixture. Cook the hen after removing the liver, head, gizard, meat of chest, neck and chest bone, and give to the people to eat. Wash osun with the leaves. After this pour palm oil and shea butter over it. At the end shout: “Ore yè è yé ò”.	164	-57
wíwá ìyọ́nú Ọ̀ṣun	to obtain favours from Ọ̀ṣun	Iṣu		òrìṣà	Ogbè gúndá (24)	Ẹ̀fọ́ yánrin, Iṣu márùn, Obì márùn, Ataare márùn, Ewé pèrègún, Ewé awẹdẹ (wẹ̀rìṣà), Ewé ọ̀dúndún, Ewé tẹ̀tẹ̀, Ewé rinrin, Ewé ọsàn, Ewé gbẹ́gi, Òrí, Adìyẹ elẹ́sẹ̀ márùn (ọmọ ìkàsẹ̀). A ó fi epo pupa ro ẹ̀fọ́ yánrin. A ó gún iṣu márùn nínú odó. A ó ra á róbóróbó lọ́nà mésàn, a ó bu éfọ́ tí a rò sí i. A ó gbé e sí ìdí Ọ̀ṣun. A ó kó obì àti ataare sí ibẹ̀ pẹ̀lú. A ó da ẹ̀jẹ̀ adìyẹ ọlọ́mọ ìkasẹ̀ márùn sí i. A ó se ìyókù. Tí ó ba jiná tán, a ó yọ ẹ̀dọ̀, orí, iwe, ọrùn, eegun àti ẹran àyà adìyẹ náà sọ́tọ̀. A ó há ìyókù fun àwọn ènìyàn je. A ó wẹ Ọ̀ṣun pẹ̀lú àwọn ewé wọ̀nyí. Lẹ́yìn èyí, a O da epo ati ori si i. A ó wá ké báyìí. Ore yè è yé ò.	LAUNAEA TARAXACIFOLIA, Compositae; Five DIOSCOREA sp., Dioscoreaceae; Five COLA ACUMINATA, Sterculiaceae; Five AFRAMOMUM MELEGUETA, Zingiberaceae; Leaf of DRACAENA FRAGRANS, Agavaceae; Leaf of DISSOTIS ROTUNDIFOLIA, Melastomataceae; Leaf of KALANCHOE CRENATA, Crassulaceae; Leaf of AMARANTHUS HYBRIDUS subsp. INCURVATUS, Amaranthaceae; Leaf of PEPEROMIA PELLUCIDA, Piperaceae; Leaf of CITRUS sp., Rutaceae; Leaf of ELEUSINE INDICA, Graminae; BUTYROSPERMUM PARADOXUM subsp. PARKII, Sapotaceae. One hen with five talons Cook the first ingredient in palm oil. Pound five yams, make nine little balls with the paste, add to the first preparation and place on the shrine of Osun with the third and fourth ingredients. Pour the blood of the hen, which must have five talons, over the mixture. Cook the hen after removing the liver, head, gizard, meat of chest, neck and chest bone, and give to the people to eat. Wash osun with the leaves. After this pour palm oil and shea butter over it. At the end shout: “Ore yè è yé ò”.	-133	55
wíwá ìyọ́nú Ọ̀ṣun	to obtain favours from Ọ̀ṣun	Obì		òrìṣà	Ogbè gúndá (24)	Ẹ̀fọ́ yánrin, Iṣu márùn, Obì márùn, Ataare márùn, Ewé pèrègún, Ewé awẹdẹ (wẹ̀rìṣà), Ewé ọ̀dúndún, Ewé tẹ̀tẹ̀, Ewé rinrin, Ewé ọsàn, Ewé gbẹ́gi, Òrí. Adìyẹ elẹ́sẹ̀ márùn (ọmọ ìkàsẹ̀). A ó fi epo pupa ro ẹ̀fọ́ yánrin. A ó gún iṣu márùn nínú odó. A ó ra á róbóróbó lọ́nà mésàn, a ó bu éfọ́ tí a rò sí i. A ó gbé e sí ìdí Ọ̀ṣun. A ó kó obì àti ataare sí ibẹ̀ pẹ̀lú. A ó da ẹ̀jẹ̀ adìyẹ ọlọ́mọ ìkasẹ̀ márùn sí i. A ó se ìyókù. Tí ó ba jiná tán, a ó yọ ẹ̀dọ̀, orí, iwe, ọrùn, eegun àti ẹran àyà adìyẹ náà sọ́tọ̀. A ó há ìyókù fun àwọn ènìyàn je. A ó wẹ Ọ̀ṣun pẹ̀lú àwọn ewé wọ̀nyí. Lẹ́yìn èyí, a O da epo ati ori si i. A ó wá ké báyìí. Ore yè è yé ò.	LAUNAEA TARAXACIFOLIA, Compositae; Five DIOSCOREA sp., Dioscoreaceae; Five COLA ACUMINATA, Sterculiaceae; Five AFRAMOMUM MELEGUETA, Zingiberaceae; Leaf of DRACAENA FRAGRANS, Agavaceae; Leaf of DISSOTIS ROTUNDIFOLIA, Melastomataceae; Leaf of KALANCHOE CRENATA, Crassulaceae; Leaf of AMARANTHUS HYBRIDUS subsp. INCURVATUS, Amaranthaceae; Leaf of PEPEROMIA PELLUCIDA, Piperaceae; Leaf of CITRUS sp., Rutaceae; Leaf of ELEUSINE INDICA, Graminae; BUTYROSPERMUM PARADOXUM subsp. PARKII, Sapotaceae. One hen with five talons Cook the first ingredient in palm oil. Pound five yams, make nine little balls with the paste, add to the first preparation and place on the shrine of Osun with the third and fourth ingredients. Pour the blood of the hen, which must have five talons, over the mixture. Cook the hen after removing the liver, head, gizard, meat of chest, neck and chest bone, and give to the people to eat. Wash osun with the leaves. After this pour palm oil and shea butter over it. At the end shout: “Ore yè è yé ò”.	-32	-119
wíwá ìyọ́nú Ọ̀ṣun	to obtain favours from Ọ̀ṣun	Ewé pèrègún	leaf	òrìṣà	Ogbè gúndá (24)	Ẹ̀fọ́ yánrin, Iṣu márùn, Obì márùn, Ataare márùn, Ewé pèrègún, Ewé awẹdẹ (wẹ̀rìṣà), Ewé ọ̀dúndún, Ewé tẹ̀tẹ̀, Ewé rinrin, Ewé ọsàn, Ewé gbẹ́gi, Òrí. Adìyẹ elẹ́sẹ̀ márùn (ọmọ ìkàsẹ̀). A ó fi epo pupa ro ẹ̀fọ́ yánrin. A ó gún iṣu márùn nínú odó. A ó ra á róbóróbó lọ́nà mésàn, a ó bu éfọ́ tí a rò sí i. A ó gbé e sí ìdí Ọ̀ṣun. A ó kó obì àti ataare sí ibẹ̀ pẹ̀lú. A ó da ẹ̀jẹ̀ adìyẹ ọlọ́mọ ìkasẹ̀ márùn sí i. A ó se ìyókù. Tí ó ba jiná tán, a ó yọ ẹ̀dọ̀, orí, iwe, ọrùn, eegun àti ẹran àyà adìyẹ náà sọ́tọ̀. A ó há ìyókù fun àwọn ènìyàn je. A ó wẹ Ọ̀ṣun pẹ̀lú àwọn ewé wọ̀nyí. Lẹ́yìn èyí, a O da epo ati ori si i. A ó wá ké báyìí. Ore yè è yé ò.	LAUNAEA TARAXACIFOLIA, Compositae; Five DIOSCOREA sp., Dioscoreaceae; Five COLA ACUMINATA, Sterculiaceae; Five AFRAMOMUM MELEGUETA, Zingiberaceae; Leaf of DRACAENA FRAGRANS, Agavaceae; Leaf of DISSOTIS ROTUNDIFOLIA, Melastomataceae; Leaf of KALANCHOE CRENATA, Crassulaceae; Leaf of AMARANTHUS HYBRIDUS subsp. INCURVATUS, Amaranthaceae; Leaf of PEPEROMIA PELLUCIDA, Piperaceae; Leaf of CITRUS sp., Rutaceae; Leaf of ELEUSINE INDICA, Graminae; BUTYROSPERMUM PARADOXUM subsp. PARKII, Sapotaceae. One hen with five talons Cook the first ingredient in palm oil. Pound five yams, make nine little balls with the paste, add to the first preparation and place on the shrine of Osun with the third and fourth ingredients. Pour the blood of the hen, which must have five talons, over the mixture. Cook the hen after removing the liver, head, gizard, meat of chest, neck and chest bone, and give to the people to eat. Wash osun with the leaves. After this pour palm oil and shea butter over it. At the end shout: “Ore yè è yé ò”.	172	-179
wíwá ìyọ́nú Ọ̀ṣun	to obtain favours from Ọ̀ṣun	Ewé awẹdẹ	leaf	òrìṣà	Ogbè gúndá (24)	Ẹ̀fọ́ yánrin, Iṣu márùn, Obì márùn, Ataare márùn, Ewé pèrègún, Ewé awẹdẹ (wẹ̀rìṣà), Ewé ọ̀dúndún, Ewé tẹ̀tẹ̀, Ewé rinrin, Ewé ọsàn, Ewé gbẹ́gi, Òrí. Adìyẹ elẹ́sẹ̀ márùn (ọmọ ìkàsẹ̀). A ó fi epo pupa ro ẹ̀fọ́ yánrin. A ó gún iṣu márùn nínú odó. A ó ra á róbóróbó lọ́nà mésàn, a ó bu éfọ́ tí a rò sí i. A ó gbé e sí ìdí Ọ̀ṣun. A ó kó obì àti ataare sí ibẹ̀ pẹ̀lú. A ó da ẹ̀jẹ̀ adìyẹ ọlọ́mọ ìkasẹ̀ márùn sí i. A ó se ìyókù. Tí ó ba jiná tán, a ó yọ ẹ̀dọ̀, orí, iwe, ọrùn, eegun àti ẹran àyà adìyẹ náà sọ́tọ̀. A ó há ìyókù fun àwọn ènìyàn je. A ó wẹ Ọ̀ṣun pẹ̀lú àwọn ewé wọ̀nyí. Lẹ́yìn èyí, a O da epo ati ori si i. A ó wá ké báyìí. Ore yè è yé ò.	LAUNAEA TARAXACIFOLIA, Compositae; Five DIOSCOREA sp., Dioscoreaceae; Five COLA ACUMINATA, Sterculiaceae; Five AFRAMOMUM MELEGUETA, Zingiberaceae; Leaf of DRACAENA FRAGRANS, Agavaceae; Leaf of DISSOTIS ROTUNDIFOLIA, Melastomataceae; Leaf of KALANCHOE CRENATA, Crassulaceae; Leaf of AMARANTHUS HYBRIDUS subsp. INCURVATUS, Amaranthaceae; Leaf of PEPEROMIA PELLUCIDA, Piperaceae; Leaf of CITRUS sp., Rutaceae; Leaf of ELEUSINE INDICA, Graminae; BUTYROSPERMUM PARADOXUM subsp. PARKII, Sapotaceae. One hen with five talons Cook the first ingredient in palm oil. Pound five yams, make nine little balls with the paste, add to the first preparation and place on the shrine of Osun with the third and fourth ingredients. Pour the blood of the hen, which must have five talons, over the mixture. Cook the hen after removing the liver, head, gizard, meat of chest, neck and chest bone, and give to the people to eat. Wash osun with the leaves. After this pour palm oil and shea butter over it. At the end shout: “Ore yè è yé ò”.	-200	-232
