recipe_name	EN_recipe_name	ewe_name	part	class_fatumbi	odu	recipe	recipe_EN	X	Y
wíwá ìyọ́nú Ọ̀ṣun	to obtain favours from Ọ̀ṣun	Ewé ọ̀dúndún	leaf	òrìṣà	Ogbè gúndá (24)	Ẹ̀fọ́ yánrin, Iṣu márùn, Obì márùn, Ataare márùn, Ewé pèrègún, Ewé awẹdẹ (wẹ̀rìṣà), Ewé ọ̀dúndún, Ewé tẹ̀tẹ̀, Ewé rinrin, Ewé ọsàn, Ewé gbẹ́gi, Òrí. Adìyẹ elẹ́sẹ̀ márùn (ọmọ ìkàsẹ̀). A ó fi epo pupa ro ẹ̀fọ́ yánrin. A ó gún iṣu márùn nínú odó. A ó ra á róbóróbó lọ́nà mésàn, a ó bu éfọ́ tí a rò sí i. A ó gbé e sí ìdí Ọ̀ṣun. A ó kó obì àti ataare sí ibẹ̀ pẹ̀lú. A ó da ẹ̀jẹ̀ adìyẹ ọlọ́mọ ìkasẹ̀ márùn sí i. A ó se ìyókù. Tí ó ba jiná tán, a ó yọ ẹ̀dọ̀, orí, iwe, ọrùn, eegun àti ẹran àyà adìyẹ náà sọ́tọ̀. A ó há ìyókù fun àwọn ènìyàn je. A ó wẹ Ọ̀ṣun pẹ̀lú àwọn ewé wọ̀nyí. Lẹ́yìn èyí, a O da epo ati ori si i. A ó wá ké báyìí. Ore yè è yé ò.	LAUNAEA TARAXACIFOLIA, Compositae; Five DIOSCOREA sp., Dioscoreaceae; Five COLA ACUMINATA, Sterculiaceae; Five AFRAMOMUM MELEGUETA, Zingiberaceae; Leaf of DRACAENA FRAGRANS, Agavaceae; Leaf of DISSOTIS ROTUNDIFOLIA, Melastomataceae; Leaf of KALANCHOE CRENATA, Crassulaceae; Leaf of AMARANTHUS HYBRIDUS subsp. INCURVATUS, Amaranthaceae; Leaf of PEPEROMIA PELLUCIDA, Piperaceae; Leaf of CITRUS sp., Rutaceae; Leaf of ELEUSINE INDICA, Graminae; BUTYROSPERMUM PARADOXUM subsp. PARKII, Sapotaceae. One hen with five talons Cook the first ingredient in palm oil. Pound five yams, make nine little balls with the paste, add to the first preparation and place on the shrine of Osun with the third and fourth ingredients. Pour the blood of the hen, which must have five talons, over the mixture. Cook the hen after removing the liver, head, gizard, meat of chest, neck and chest bone, and give to the people to eat. Wash osun with the leaves. After this pour palm oil and shea butter over it. At the end shout: “Ore yè è yé ò”.	119	-241
wíwá ìyọ́nú Ọ̀ṣun	to obtain favours from Ọ̀ṣun	Ewé tẹ̀tẹ̀	leaf	òrìṣà	Ogbè gúndá (24)	Ẹ̀fọ́ yánrin, Iṣu márùn, Obì márùn, Ataare márùn, Ewé pèrègún, Ewé awẹdẹ (wẹ̀rìṣà), Ewé ọ̀dúndún, Ewé tẹ̀tẹ̀, Ewé rinrin, Ewé ọsàn, Ewé gbẹ́gi, Òrí. Adìyẹ elẹ́sẹ̀ márùn (ọmọ ìkàsẹ̀). A ó fi epo pupa ro ẹ̀fọ́ yánrin. A ó gún iṣu márùn nínú odó. A ó ra á róbóróbó lọ́nà mésàn, a ó bu éfọ́ tí a rò sí i. A ó gbé e sí ìdí Ọ̀ṣun. A ó kó obì àti ataare sí ibẹ̀ pẹ̀lú. A ó da ẹ̀jẹ̀ adìyẹ ọlọ́mọ ìkasẹ̀ márùn sí i. A ó se ìyókù. Tí ó ba jiná tán, a ó yọ ẹ̀dọ̀, orí, iwe, ọrùn, eegun àti ẹran àyà adìyẹ náà sọ́tọ̀. A ó há ìyókù fun àwọn ènìyàn je. A ó wẹ Ọ̀ṣun pẹ̀lú àwọn ewé wọ̀nyí. Lẹ́yìn èyí, a O da epo ati ori si i. A ó wá ké báyìí. Ore yè è yé ò.	LAUNAEA TARAXACIFOLIA, Compositae; Five DIOSCOREA sp., Dioscoreaceae; Five COLA ACUMINATA, Sterculiaceae; Five AFRAMOMUM MELEGUETA, Zingiberaceae; Leaf of DRACAENA FRAGRANS, Agavaceae; Leaf of DISSOTIS ROTUNDIFOLIA, Melastomataceae; Leaf of KALANCHOE CRENATA, Crassulaceae; Leaf of AMARANTHUS HYBRIDUS subsp. INCURVATUS, Amaranthaceae; Leaf of PEPEROMIA PELLUCIDA, Piperaceae; Leaf of CITRUS sp., Rutaceae; Leaf of ELEUSINE INDICA, Graminae; BUTYROSPERMUM PARADOXUM subsp. PARKII, Sapotaceae. One hen with five talons Cook the first ingredient in palm oil. Pound five yams, make nine little balls with the paste, add to the first preparation and place on the shrine of Osun with the third and fourth ingredients. Pour the blood of the hen, which must have five talons, over the mixture. Cook the hen after removing the liver, head, gizard, meat of chest, neck and chest bone, and give to the people to eat. Wash osun with the leaves. After this pour palm oil and shea butter over it. At the end shout: “Ore yè è yé ò”.	132	-42
wíwá ìyọ́nú Ọ̀ṣun	to obtain favours from Ọ̀ṣun	Ewé rinrin	leaf	òrìṣà	Ogbè gúndá (24)	Ẹ̀fọ́ yánrin, Iṣu márùn, Obì márùn, Ataare márùn, Ewé pèrègún, Ewé awẹdẹ (wẹ̀rìṣà), Ewé ọ̀dúndún, Ewé tẹ̀tẹ̀, Ewé rinrin, Ewé ọsàn, Ewé gbẹ́gi, Òrí. Adìyẹ elẹ́sẹ̀ márùn (ọmọ ìkàsẹ̀). A ó fi epo pupa ro ẹ̀fọ́ yánrin. A ó gún iṣu márùn nínú odó. A ó ra á róbóróbó lọ́nà mésàn, a ó bu éfọ́ tí a rò sí i. A ó gbé e sí ìdí Ọ̀ṣun. A ó kó obì àti ataare sí ibẹ̀ pẹ̀lú. A ó da ẹ̀jẹ̀ adìyẹ ọlọ́mọ ìkasẹ̀ márùn sí i. A ó se ìyókù. Tí ó ba jiná tán, a ó yọ ẹ̀dọ̀, orí, iwe, ọrùn, eegun àti ẹran àyà adìyẹ náà sọ́tọ̀. A ó há ìyókù fun àwọn ènìyàn je. A ó wẹ Ọ̀ṣun pẹ̀lú àwọn ewé wọ̀nyí. Lẹ́yìn èyí, a O da epo ati ori si i. A ó wá ké báyìí. Ore yè è yé ò.	LAUNAEA TARAXACIFOLIA, Compositae; Five DIOSCOREA sp., Dioscoreaceae; Five COLA ACUMINATA, Sterculiaceae; Five AFRAMOMUM MELEGUETA, Zingiberaceae; Leaf of DRACAENA FRAGRANS, Agavaceae; Leaf of DISSOTIS ROTUNDIFOLIA, Melastomataceae; Leaf of KALANCHOE CRENATA, Crassulaceae; Leaf of AMARANTHUS HYBRIDUS subsp. INCURVATUS, Amaranthaceae; Leaf of PEPEROMIA PELLUCIDA, Piperaceae; Leaf of CITRUS sp., Rutaceae; Leaf of ELEUSINE INDICA, Graminae; BUTYROSPERMUM PARADOXUM subsp. PARKII, Sapotaceae. One hen with five talons Cook the first ingredient in palm oil. Pound five yams, make nine little balls with the paste, add to the first preparation and place on the shrine of Osun with the third and fourth ingredients. Pour the blood of the hen, which must have five talons, over the mixture. Cook the hen after removing the liver, head, gizard, meat of chest, neck and chest bone, and give to the people to eat. Wash osun with the leaves. After this pour palm oil and shea butter over it. At the end shout: “Ore yè è yé ò”.	64	-58
wíwá ìyọ́nú Ọ̀ṣun	to obtain favours from Ọ̀ṣun	Ewé ọsàn	leaf	òrìṣà	Ogbè gúndá (24)	Ẹ̀fọ́ yánrin, Iṣu márùn, Obì márùn, Ataare márùn, Ewé pèrègún, Ewé awẹdẹ (wẹ̀rìṣà), Ewé ọ̀dúndún, Ewé tẹ̀tẹ̀, Ewé rinrin, Ewé ọsàn, Ewé gbẹ́gi, Òrí. Adìyẹ elẹ́sẹ̀ márùn (ọmọ ìkàsẹ̀). A ó fi epo pupa ro ẹ̀fọ́ yánrin. A ó gún iṣu márùn nínú odó. A ó ra á róbóróbó lọ́nà mésàn, a ó bu éfọ́ tí a rò sí i. A ó gbé e sí ìdí Ọ̀ṣun. A ó kó obì àti ataare sí ibẹ̀ pẹ̀lú. A ó da ẹ̀jẹ̀ adìyẹ ọlọ́mọ ìkasẹ̀ márùn sí i. A ó se ìyókù. Tí ó ba jiná tán, a ó yọ ẹ̀dọ̀, orí, iwe, ọrùn, eegun àti ẹran àyà adìyẹ náà sọ́tọ̀. A ó há ìyókù fun àwọn ènìyàn je. A ó wẹ Ọ̀ṣun pẹ̀lú àwọn ewé wọ̀nyí. Lẹ́yìn èyí, a O da epo ati ori si i. A ó wá ké báyìí. Ore yè è yé ò.	LAUNAEA TARAXACIFOLIA, Compositae; Five DIOSCOREA sp., Dioscoreaceae; Five COLA ACUMINATA, Sterculiaceae; Five AFRAMOMUM MELEGUETA, Zingiberaceae; Leaf of DRACAENA FRAGRANS, Agavaceae; Leaf of DISSOTIS ROTUNDIFOLIA, Melastomataceae; Leaf of KALANCHOE CRENATA, Crassulaceae; Leaf of AMARANTHUS HYBRIDUS subsp. INCURVATUS, Amaranthaceae; Leaf of PEPEROMIA PELLUCIDA, Piperaceae; Leaf of CITRUS sp., Rutaceae; Leaf of ELEUSINE INDICA, Graminae; BUTYROSPERMUM PARADOXUM subsp. PARKII, Sapotaceae. One hen with five talons Cook the first ingredient in palm oil. Pound five yams, make nine little balls with the paste, add to the first preparation and place on the shrine of Osun with the third and fourth ingredients. Pour the blood of the hen, which must have five talons, over the mixture. Cook the hen after removing the liver, head, gizard, meat of chest, neck and chest bone, and give to the people to eat. Wash osun with the leaves. After this pour palm oil and shea butter over it. At the end shout: “Ore yè è yé ò”.	-126	-47
wíwá ìyọ́nú Ọ̀ṣun	to obtain favours from Ọ̀ṣun	Ewé gbẹ́gi	leaf	òrìṣà	Ogbè gúndá (24)	Ẹ̀fọ́ yánrin, Iṣu márùn, Obì márùn, Ataare márùn, Ewé pèrègún, Ewé awẹdẹ (wẹ̀rìṣà), Ewé ọ̀dúndún, Ewé tẹ̀tẹ̀, Ewé rinrin, Ewé ọsàn, Ewé gbẹ́gi, Òrí. Adìyẹ elẹ́sẹ̀ márùn (ọmọ ìkàsẹ̀). A ó fi epo pupa ro ẹ̀fọ́ yánrin. A ó gún iṣu márùn nínú odó. A ó ra á róbóróbó lọ́nà mésàn, a ó bu éfọ́ tí a rò sí i. A ó gbé e sí ìdí Ọ̀ṣun. A ó kó obì àti ataare sí ibẹ̀ pẹ̀lú. A ó da ẹ̀jẹ̀ adìyẹ ọlọ́mọ ìkasẹ̀ márùn sí i. A ó se ìyókù. Tí ó ba jiná tán, a ó yọ ẹ̀dọ̀, orí, iwe, ọrùn, eegun àti ẹran àyà adìyẹ náà sọ́tọ̀. A ó há ìyókù fun àwọn ènìyàn je. A ó wẹ Ọ̀ṣun pẹ̀lú àwọn ewé wọ̀nyí. Lẹ́yìn èyí, a O da epo ati ori si i. A ó wá ké báyìí. Ore yè è yé ò.	LAUNAEA TARAXACIFOLIA, Compositae; Five DIOSCOREA sp., Dioscoreaceae; Five COLA ACUMINATA, Sterculiaceae; Five AFRAMOMUM MELEGUETA, Zingiberaceae; Leaf of DRACAENA FRAGRANS, Agavaceae; Leaf of DISSOTIS ROTUNDIFOLIA, Melastomataceae; Leaf of KALANCHOE CRENATA, Crassulaceae; Leaf of AMARANTHUS HYBRIDUS subsp. INCURVATUS, Amaranthaceae; Leaf of PEPEROMIA PELLUCIDA, Piperaceae; Leaf of CITRUS sp., Rutaceae; Leaf of ELEUSINE INDICA, Graminae; BUTYROSPERMUM PARADOXUM subsp. PARKII, Sapotaceae. One hen with five talons Cook the first ingredient in palm oil. Pound five yams, make nine little balls with the paste, add to the first preparation and place on the shrine of Osun with the third and fourth ingredients. Pour the blood of the hen, which must have five talons, over the mixture. Cook the hen after removing the liver, head, gizard, meat of chest, neck and chest bone, and give to the people to eat. Wash osun with the leaves. After this pour palm oil and shea butter over it. At the end shout: “Ore yè è yé ò”.	34	-255
wíwá ìyọ́nú Ọ̀ṣun	to obtain favours from Ọ̀ṣun	Òrí		òrìṣà	Ogbè gúndá (24)	Ẹ̀fọ́ yánrin, Iṣu márùn, Obì márùn, Ataare márùn, Ewé pèrègún, Ewé awẹdẹ (wẹ̀rìṣà), Ewé ọ̀dúndún, Ewé tẹ̀tẹ̀, Ewé rinrin, Ewé ọsàn, Ewé gbẹ́gi, Òrí. Adìyẹ elẹ́sẹ̀ márùn (ọmọ ìkàsẹ̀). A ó fi epo pupa ro ẹ̀fọ́ yánrin. A ó gún iṣu márùn nínú odó. A ó ra á róbóróbó lọ́nà mésàn, a ó bu éfọ́ tí a rò sí i. A ó gbé e sí ìdí Ọ̀ṣun. A ó kó obì àti ataare sí ibẹ̀ pẹ̀lú. A ó da ẹ̀jẹ̀ adìyẹ ọlọ́mọ ìkasẹ̀ márùn sí i. A ó se ìyókù. Tí ó ba jiná tán, a ó yọ ẹ̀dọ̀, orí, iwe, ọrùn, eegun àti ẹran àyà adìyẹ náà sọ́tọ̀. A ó há ìyókù fun àwọn ènìyàn je. A ó wẹ Ọ̀ṣun pẹ̀lú àwọn ewé wọ̀nyí. Lẹ́yìn èyí, a O da epo ati ori si i. A ó wá ké báyìí. Ore yè è yé ò.	LAUNAEA TARAXACIFOLIA, Compositae; Five DIOSCOREA sp., Dioscoreaceae; Five COLA ACUMINATA, Sterculiaceae; Five AFRAMOMUM MELEGUETA, Zingiberaceae; Leaf of DRACAENA FRAGRANS, Agavaceae; Leaf of DISSOTIS ROTUNDIFOLIA, Melastomataceae; Leaf of KALANCHOE CRENATA, Crassulaceae; Leaf of AMARANTHUS HYBRIDUS subsp. INCURVATUS, Amaranthaceae; Leaf of PEPEROMIA PELLUCIDA, Piperaceae; Leaf of CITRUS sp., Rutaceae; Leaf of ELEUSINE INDICA, Graminae; BUTYROSPERMUM PARADOXUM subsp. PARKII, Sapotaceae. One hen with five talons Cook the first ingredient in palm oil. Pound five yams, make nine little balls with the paste, add to the first preparation and place on the shrine of Osun with the third and fourth ingredients. Pour the blood of the hen, which must have five talons, over the mixture. Cook the hen after removing the liver, head, gizard, meat of chest, neck and chest bone, and give to the people to eat. Wash osun with the leaves. After this pour palm oil and shea butter over it. At the end shout: “Ore yè è yé ò”.	84	-193
Ìrọ́gun dànù	to prevent war	Tẹ̀tẹ̀ ẹlẹ́gún	spine	àwúre	Ọ̀ṣẹ́ ìrẹtẹ̀ (240)	Ẹ̀gún tẹ̀tẹ̀ ẹlẹ́gún, Ewé ṣẹ́gun ṣẹ́tẹ̀, Eku méjì, Ẹja méjì. A ó jó o, a ó fi tẹfá sí a ó sin ín sí oríta, ní ẹnu ibodè ìlú.	Spine of AMARANTHUS SPINOSUS, Amaranthaceae; Leaf of PORTULACA OLERACEA, Portulacaceae; Two rats; Two fishes. Burn the ingredients, draw the odu in the preparation and bury it at a crossroads at the entrance to the town.	65	-197
Ìrọ́gun dànù	to prevent war	Ewé ṣẹ́gun ṣẹ́tẹ̀	leaf	àwúre	Ọ̀ṣẹ́ ìrẹtẹ̀ (240)	Ẹ̀gún tẹ̀tẹ̀ ẹlẹ́gún, Ewé ṣẹ́gun ṣẹ́tẹ̀, Eku méjì, Ẹja méjì. A ó jó o, a ó fi tẹfá sí a ó sin ín sí oríta, ní ẹnu ibodè ìlú.	Spine of AMARANTHUS SPINOSUS, Amaranthaceae; Leaf of PORTULACA OLERACEA, Portulacaceae; Two rats; Two fishes. Burn the ingredients, draw the odu in the preparation and bury it at a crossroads at the entrance to the town.	170	-75
wíwá ìyọ́nú Ṣàngó	to obtain favours from Ṣàngó	Ewé àpárà	leaf	òrìṣà	Ọ̀kànràn méjì (8)	Ewé àpárà, Ewé abọ rere, Orógbó kan, Ẹyin adìye kan, Ọṣẹ dúdú. A ó gún un mọ́ ọṣẹ dúdú, a ó pe ọfọ̀ rè sí i. A ó kó o sínú àpò funfun kékeré a ó fi kọ́ orí àjà. Àpárà bá wa bẹ Ṣàngó, Ṣàngó kò gbọdọ̀ pa abọ rere, Ẹ̀rọ̀wọ̀ ni t’ẹyin adìyẹ, Orógbó níí bẹ Ṣàngó l’ọ́run.	Leaf of PENTACLETHRA MACROPHYLLA, Leguminosae Mimosoideae; Leaf of SENNA OCCIDENTALIS, Leguminosae Caesalpinioideae; One nut of GARCINIA KOLA, Guttiferae; One hen’s egg; Black soap. Pound with the black soap, recite the incantation, put in a little white pouch and hang it from the ceiling."Àpárà will beg Ṣàngó to be with us, Ṣàngó does not dare to kill the abọ rere, The hen’s egg is fresh and calm, It is Orógbó that appeases Ṣàngó in heaven."	35	-264
wíwá ìyọ́nú Ṣàngó	to obtain favours from Ṣàngó	Ewé abọ rere	leaf	òrìṣà	Ọ̀kànràn méjì (8)	Ewé àpárà, Ewé abọ rere, Orógbó kan, Ẹyin adìye kan, Ọṣẹ dúdú. A ó gún un mọ́ ọṣẹ dúdú, a ó pe ọfọ̀ rè sí i. A ó kó o sínú àpò funfun kékeré a ó fi kọ́ orí àjà. Àpárà bá wa bẹ Ṣàngó, Ṣàngó kò gbọdọ̀ pa abọ rere, Ẹ̀rọ̀wọ̀ ni t’ẹyin adìyẹ, Orógbó níí bẹ Ṣàngó l’ọ́run.	Leaf of PENTACLETHRA MACROPHYLLA, Leguminosae Mimosoideae; Leaf of SENNA OCCIDENTALIS, Leguminosae Caesalpinioideae; One nut of GARCINIA KOLA, Guttiferae; One hen’s egg; Black soap. Pound with the black soap, recite the incantation, put in a little white pouch and hang it from the ceiling."Àpárà will beg Ṣàngó to be with us, Ṣàngó does not dare to kill the abọ rere, The hen’s egg is fresh and calm, It is Orógbó that appeases Ṣàngó in heaven."	8	-226
wíwá ìyọ́nú Ṣàngó	to obtain favours from Ṣàngó	Orógbó kàn 	fruit	òrìṣà	Ọ̀kànràn méjì (8)	Ewé àpárà, Ewé abọ rere, Orógbó kan, Ẹyin adìye kan, Ọṣẹ dúdú. A ó gún un mọ́ ọṣẹ dúdú, a ó pe ọfọ̀ rè sí i. A ó kó o sínú àpò funfun kékeré a ó fi kọ́ orí àjà. Àpárà bá wa bẹ Ṣàngó, Ṣàngó kò gbọdọ̀ pa abọ rere, Ẹ̀rọ̀wọ̀ ni t’ẹyin adìyẹ, Orógbó níí bẹ Ṣàngó l’ọ́run.	Leaf of PENTACLETHRA MACROPHYLLA, Leguminosae Mimosoideae; Leaf of SENNA OCCIDENTALIS, Leguminosae Caesalpinioideae; One nut of GARCINIA KOLA, Guttiferae; One hen’s egg; Black soap. Pound with the black soap, recite the incantation, put in a little white pouch and hang it from the ceiling."Àpárà will beg Ṣàngó to be with us, Ṣàngó does not dare to kill the abọ rere, The hen’s egg is fresh and calm, It is Orógbó that appeases Ṣàngó in heaven."	30	-127